,Player Name,Player Position,Left Club,Current Club,Market Value (m€),Fee (m€)
0,Romelu Lukaku,Centre-Forward,Everton,Everton,50.0,84.7
1,Ross Barkley,Central Midfield,Everton,Everton,25.0,16.8
2,Gylfi Sigurdsson,Attacking Midfield,Swansea,Everton,25.0,49.4
3,Morgan Schneiderlin,Defensive Midfield,,Everton,20.0,
4,Michael Keane,Centre-Back,,Everton,20.0,
5,Idrissa Gueye,Central Midfield,,Everton,20.0,
6,Theo Walcott,Right Winger,Arsenal,Everton,20.0,22.5
7,Yannick Bolasie,Left Winger,,Everton,18.0,
8,Davy Klaassen,Central Midfield,Ajax,Everton,18.0,27.0
9,Dominic Calvert-Lewin,Centre-Forward,,Everton,15.0,
10,Eliaquim Mangala,Centre-Back,,Everton,15.0,
11,Tom Davies,Central Midfield,,Everton,15.0,
12,Jordan Pickford,Goalkeeper,Sunderland,Everton,15.0,28.5
13,Seamus Coleman,Right-Back,,Everton,12.0,
14,Gerard Deulofeu,Centre-Forward,Everton,Everton,12.0,12.0
15,Ademola Lookman,Second Striker,,Everton,12.0,
16,Cenk Tosun,Centre-Forward,Besiktas,Everton,10.5,22.5
17,Wayne Rooney,Centre-Forward,,Everton,10.0,
18,Ramiro Funes Mori,Centre-Back,,Everton,10.0,
19,Sandro Ramírez,Centre-Forward,,Everton,10.0,
20,Tom Cleverley,Central Midfield,Everton,Everton,8.0,9.3
21,James McCarthy,Central Midfield,,Everton,8.0,
22,Oumar Niasse,Centre-Forward,,Everton,8.0,
23,Leighton Baines,Left-Back,,Everton,8.0,
24,Kevin Mirallas,Right Winger,,Everton,7.0,
25,Mason Holgate,Centre-Back,,Everton,7.0,
26,Henry Onyekuru,Left Winger,KAS Eupen,Everton,7.0,8.0
27,Aaron Lennon,Right Winger,,Everton,5.0,
28,Muhamed Besic,Defensive Midfield,,Everton,5.0,
29,Jonjoe Kenny,Right-Back,,Everton,5.0,
30,Ashley Williams,Centre-Back,,Everton,5.0,
31,Nikola Vlašić,Attacking Midfield,Hajduk Split,Everton,4.0,10.8
32,Joel Robles,Goalkeeper,,Everton,3.5,
33,Brendan Galloway,Left-Back,,Everton,3.0,
34,Beni Baningime,Central Midfield,,Everton,3.0,
35,Cuco Martina,Centre-Back,,Everton,2.5,
36,Shani Tarashaj,Second Striker,,Everton,2.0,
37,Phil Jagielka,Centre-Back,,Everton,1.5,
38,Tyias Browning,Centre-Back,,Everton,1.0,
39,Gareth Barry,Defensive Midfield,,Everton,1.0,
40,Luke Garbutt,Left-Back,,Everton,1.0,
41,Maarten Stekelenburg,Goalkeeper,,Everton,1.0,
42,Matthew Pennington,Centre-Back,,Everton,0.5,
43,Harry Charsley,Central Midfield,,Everton,0.25,
44,Alex Denny,Defensive Midfield,,Everton,,
45,Anthony Gordon,Left Winger,,Everton,,
46,Fraser Hornby,Centre-Forward,,Everton,,
47,Mateusz Hewelt,Goalkeeper,,Everton,,
48,Michael Collins,Centre-Back,,Everton,,
49,Morgan Feeney,Centre-Back,,Everton,,
50,Nathan Broadhead,Left Winger,,Everton,,
51,Shayne Lavery,Centre-Forward,,Everton,,
52,Stephen Duke-McKenna,Right Midfield,,Everton,,
